variant,block,order,mode,threads,multipv,position,elapsed_ns,stop_lag_ns,nodes,depth,score,bestmove,callbacks,max_pv,last_pv,engine_time_ms
baseline,4,3,time,1,1,movegen-heavy,1000246583,,609705,15,cp -2314,N*2c,16,17,17,1000
baseline,4,3,time,1,1,selfplay-88,1000261452,,549542,16,cp 4051,2h2g,17,14,14,1000
baseline,4,3,time,1,8,complex-middle,1000473421,,666973,11,cp -73,B*6h,89,25,12,1000
baseline,4,3,time,1,8,movegen-heavy,1000311506,,694008,11,cp -2005,N*2c,89,20,9,1000
baseline,4,3,time,1,8,selfplay-88,1000394312,,573687,12,cp 3255,2h2g,97,13,10,1000
baseline,5,0,time,1,1,complex-middle,1000247496,,642670,13,cp -498,B*6h,14,18,14,1000
baseline,5,0,time,1,1,movegen-heavy,1000147007,,611980,15,cp -2314,N*2c,16,17,17,1000
baseline,5,0,time,1,1,selfplay-88,1000450028,,549976,16,cp 4051,2h2g,17,14,14,1000
baseline,5,0,time,1,8,complex-middle,1000156465,,665841,11,cp -73,B*6h,89,25,12,1000
baseline,5,0,time,1,8,movegen-heavy,1000238570,,695643,11,cp -2005,N*2c,89,20,9,1000
baseline,5,0,time,1,8,selfplay-88,1000516965,,577476,12,cp 3255,2h2g,97,13,10,1000
fixed,5,1,time,1,1,complex-middle,1000198385,,646884,13,cp -498,B*6h,14,17,14,1000
fixed,5,1,time,1,1,movegen-heavy,1000409442,,614406,15,cp -2314,N*2c,16,17,17,1000
fixed,5,1,time,1,1,selfplay-88,1000575124,,545245,16,cp 4051,2h2g,17,13,13,1000
fixed,5,1,time,1,8,complex-middle,1000338670,,661413,11,cp -73,B*6h,89,23,12,1000
fixed,5,1,time,1,8,movegen-heavy,1000283496,,702060,11,cp -2005,N*2c,89,20,9,1000
fixed,5,1,time,1,8,selfplay-88,1000418470,,581951,12,cp 3255,2h2g,97,13,10,1000
fixed,5,2,time,1,1,complex-middle,1000350402,,646732,13,cp -498,B*6h,14,17,14,1000
fixed,5,2,time,1,1,movegen-heavy,1000453527,,617576,15,cp -2314,N*2c,16,17,17,1000
fixed,5,2,time,1,1,selfplay-88,1000255485,,551307,16,cp 4051,2h2g,17,13,13,1000
fixed,5,2,time,1,8,complex-middle,1000219397,,669812,11,cp -73,B*6h,89,23,12,1000
fixed,5,2,time,1,8,movegen-heavy,1000372735,,697772,11,cp -2005,N*2c,89,20,9,1000
fixed,5,2,time,1,8,selfplay-88,1000734908,,583899,12,cp 3255,2h2g,97,13,10,1000
baseline,5,3,time,1,1,complex-middle,1000290711,,643370,13,cp -498,B*6h,14,18,14,1000
baseline,5,3,time,1,1,movegen-heavy,1000339133,,606283,15,cp -2314,N*2c,16,17,17,1000
baseline,5,3,time,1,1,selfplay-88,1000324255,,554354,16,cp 4051,2h2g,17,14,14,1000
baseline,5,3,time,1,8,complex-middle,1000284631,,667291,11,cp -73,B*6h,89,25,12,1000
baseline,5,3,time,1,8,movegen-heavy,1000239406,,692082,11,cp -2005,N*2c,89,20,9,1000
baseline,5,3,time,1,8,selfplay-88,1000321591,,584794,12,cp 3255,2h2g,97,13,10,1000
baseline,0,0,stop,1,1,complex-middle,252748043,2463218,162764,9,cp -426,B*6h,10,18,18,252
baseline,0,0,stop,1,1,movegen-heavy,252825349,2184062,156567,11,cp -1582,G*3c,12,10,7,252
baseline,0,0,stop,1,1,selfplay-88,253047627,2768232,140100,14,cp 3573,2h2g,15,14,14,252
baseline,0,0,stop,1,8,complex-middle,253301856,3015738,187853,8,cp -127,B*6h,65,11,8,252
baseline,0,0,stop,1,8,movegen-heavy,252988967,2714090,187867,8,cp -1183,S*2h,65,8,8,252
baseline,0,0,stop,1,8,selfplay-88,253141984,2854614,153653,10,cp 2995,2h2g,81,12,11,253
fixed,0,1,stop,1,1,complex-middle,251075564,798623,161605,9,cp -426,B*6h,10,17,17,250
fixed,0,1,stop,1,1,movegen-heavy,252183670,1893555,156755,11,cp -1582,G*3c,12,10,7,252
fixed,0,1,stop,1,1,selfplay-88,252561762,2273029,140312,14,cp 3573,2h2g,15,11,7,252
fixed,0,1,stop,1,8,complex-middle,252652323,2373218,186982,8,cp -127,B*6h,65,11,8,252
fixed,0,1,stop,1,8,movegen-heavy,252512690,2229257,189242,8,cp -1183,S*2h,65,8,8,252
fixed,0,1,stop,1,8,selfplay-88,252810200,2524733,155713,10,cp 2995,2h2g,81,12,11,252
fixed,0,2,stop,1,1,complex-middle,252522949,2238084,161427,9,cp -426,B*6h,10,17,17,252
fixed,0,2,stop,1,1,movegen-heavy,252614662,2339274,156032,11,cp -1582,G*3c,12,10,7,252
fixed,0,2,stop,1,1,selfplay-88,253158586,2602079,141085,14,cp 3573,2h2g,15,11,7,253
fixed,0,2,stop,1,8,complex-middle,252623008,2336769,186443,8,cp -127,B*6h,65,11,8,252
fixed,0,2,stop,1,8,movegen-heavy,252510666,2223826,189566,8,cp -1183,S*2h,65,8,8,252
fixed,0,2,stop,1,8,selfplay-88,252204800,1916949,154084,10,cp 2995,2h2g,81,12,11,252
baseline,0,3,stop,1,1,complex-middle,252887676,2602139,161731,9,cp -426,B*6h,10,18,18,252
baseline,0,3,stop,1,1,movegen-heavy,253051725,2768072,157724,11,cp -1582,G*3c,12,10,7,252
baseline,0,3,stop,1,1,selfplay-88,253060532,2773242,139565,14,cp 3573,2h2g,15,14,14,252
baseline,0,3,stop,1,8,complex-middle,252797998,2512751,186120,8,cp -127,B*6h,65,11,8,252
baseline,0,3,stop,1,8,movegen-heavy,252953290,2705214,180298,8,cp -1183,S*2h,65,8,8,252
baseline,0,3,stop,1,8,selfplay-88,252413353,2167391,155096,10,cp 2995,2h2g,81,12,11,252
baseline,1,0,stop,1,1,complex-middle,252665578,2423042,161731,9,cp -426,B*6h,10,18,18,252
baseline,1,0,stop,1,1,movegen-heavy,252440274,2195304,155172,11,cp -1582,G*3c,12,10,7,252
baseline,1,0,stop,1,1,selfplay-88,252860365,2620183,141751,14,cp 3573,2h2g,15,14,14,252
baseline,1,0,stop,1,8,complex-middle,252252400,2009433,186982,8,cp -127,B*6h,65,11,8,252
baseline,1,0,stop,1,8,movegen-heavy,252603341,2339435,189242,8,cp -1183,S*2h,65,8,8,252
baseline,1,0,stop,1,8,selfplay-88,253242344,3000219,155295,10,cp 2995,2h2g,81,12,11,252
fixed,1,1,stop,1,1,complex-middle,252436667,2193910,160911,9,cp -426,B*6h,10,17,17,252
fixed,1,1,stop,1,1,movegen-heavy,253225723,2984178,154354,11,cp -1582,G*3c,12,10,7,252
fixed,1,1,stop,1,1,selfplay-88,252442017,2192668,140312,14,cp 3573,2h2g,15,11,7,252
fixed,1,1,stop,1,8,complex-middle,252932090,2652434,185945,8,cp -127,B*6h,65,11,8,252
fixed,1,1,stop,1,8,movegen-heavy,253309200,2770957,189566,8,cp -1183,S*2h,65,8,8,252
fixed,1,1,stop,1,8,selfplay-88,253177632,2901392,153699,10,cp 2995,2h2g,81,12,11,253
fixed,1,2,stop,1,1,complex-middle,252617538,2342381,158905,9,cp -426,B*6h,10,17,17,252
fixed,1,2,stop,1,1,movegen-heavy,252577443,2401482,157369,11,cp -1582,G*3c,12,10,7,252
fixed,1,2,stop,1,1,selfplay-88,252760807,2476572,139065,14,cp 3573,2h2g,15,11,7,252
fixed,1,2,stop,1,8,complex-middle,252920468,2644549,186120,8,cp -127,B*6h,65,11,8,252
fixed,1,2,stop,1,8,movegen-heavy,252513863,2228356,189747,8,cp -1183,S*2h,65,8,8,252
fixed,1,2,stop,1,8,selfplay-88,252318805,2032537,155386,10,cp 2995,2h2g,81,12,11,252
baseline,1,3,stop,1,1,complex-middle,252650650,1905047,161901,9,cp -426,B*6h,10,18,18,252
baseline,1,3,stop,1,1,movegen-heavy,253070991,2784973,156403,11,cp -1582,G*3c,12,10,7,252
baseline,1,3,stop,1,1,selfplay-88,252926840,2637877,139814,14,cp 3573,2h2g,15,14,14,252
baseline,1,3,stop,1,8,complex-middle,252516748,2229848,186253,8,cp -127,B*6h,65,11,8,252
baseline,1,3,stop,1,8,movegen-heavy,252962007,2675387,188670,8,cp -1183,S*2h,65,8,8,252
baseline,1,3,stop,1,8,selfplay-88,252988115,2713759,155096,10,cp 2995,2h2g,81,12,11,252
baseline,2,0,stop,1,1,complex-middle,253150652,2861097,159902,9,cp -426,B*6h,10,18,18,253
baseline,2,0,stop,1,1,movegen-heavy,252991392,2705043,155815,11,cp -1582,G*3c,12,10,7,252
