variant,block,order,mode,threads,position,multipv,ns,nodes,depth,score,bestmove,callbacks,emitted_moves
fixed,2,2,depth,1,0,1,41535473,5233,10,0,5i5h,11,48
fixed,2,2,depth,1,0,4,102706371,98668,10,7,5i5h,41,182
fixed,2,2,depth,1,1,1,40853852,3559,10,0,2h6h,11,53
fixed,2,2,depth,1,1,4,57383429,27024,10,0,2e2d,41,203
fixed,2,2,depth,1,2,1,55603724,20184,10,468,2d2b+,11,51
fixed,2,2,depth,1,2,4,177742728,173097,10,534,8h2b+,41,231
baseline,2,3,depth,1,0,1,41467917,5233,10,0,5i5h,11,49
baseline,2,3,depth,1,0,4,103027355,98668,10,7,5i5h,41,183
baseline,2,3,depth,1,1,1,40953901,3559,10,0,2h6h,11,53
baseline,2,3,depth,1,1,4,58052296,27024,10,0,2e2d,41,210
baseline,2,3,depth,1,2,1,55613112,20184,10,468,2d2b+,11,51
baseline,2,3,depth,1,2,4,179133232,173097,10,534,8h2b+,41,239
baseline,3,0,depth,1,0,1,41533680,5233,10,0,5i5h,11,49
baseline,3,0,depth,1,0,4,103703134,98668,10,7,5i5h,41,183
baseline,3,0,depth,1,1,1,40234349,3559,10,0,2h6h,11,53
baseline,3,0,depth,1,1,4,57418144,27024,10,0,2e2d,41,210
baseline,3,0,depth,1,2,1,55206789,20184,10,468,2d2b+,11,51
baseline,3,0,depth,1,2,4,181764038,173097,10,534,8h2b+,41,239
fixed,3,1,depth,1,0,1,42936858,5233,10,0,5i5h,11,48
fixed,3,1,depth,1,0,4,104243081,98668,10,7,5i5h,41,182
fixed,3,1,depth,1,1,1,40694313,3559,10,0,2h6h,11,53
fixed,3,1,depth,1,1,4,58131415,27024,10,0,2e2d,41,203
fixed,3,1,depth,1,2,1,55171002,20184,10,468,2d2b+,11,51
fixed,3,1,depth,1,2,4,177387032,173097,10,534,8h2b+,41,231
fixed,3,2,depth,1,0,1,41400410,5233,10,0,5i5h,11,48
fixed,3,2,depth,1,0,4,102649776,98668,10,7,5i5h,41,182
fixed,3,2,depth,1,1,1,40395752,3559,10,0,2h6h,11,53
fixed,3,2,depth,1,1,4,58119113,27024,10,0,2e2d,41,203
fixed,3,2,depth,1,2,1,55569070,20184,10,468,2d2b+,11,51
fixed,3,2,depth,1,2,4,178320738,173097,10,534,8h2b+,41,231
baseline,3,3,depth,1,0,1,41685917,5233,10,0,5i5h,11,49
baseline,3,3,depth,1,0,4,103707324,98668,10,7,5i5h,41,183
baseline,3,3,depth,1,1,1,40898878,3559,10,0,2h6h,11,53
baseline,3,3,depth,1,1,4,58000590,27024,10,0,2e2d,41,210
baseline,3,3,depth,1,2,1,55277583,20184,10,468,2d2b+,11,51
baseline,3,3,depth,1,2,4,178368457,173097,10,534,8h2b+,41,239
baseline,0,0,time,1,0,1,200048144,254007,13,0,5i5h,14,75
baseline,0,0,time,1,0,4,200147172,252586,10,7,5i5h,41,183
baseline,0,0,time,1,1,1,200044127,213108,12,0,2e2d,13,86
baseline,0,0,time,1,1,4,200108038,215136,11,23,2e2d,45,242
baseline,0,0,time,1,2,1,200058836,193388,14,790,8h2b+,15,125
baseline,0,0,time,1,2,4,200022508,199637,10,534,8h2b+,41,239
fixed,0,1,time,1,0,1,200044280,260361,13,0,5i5h,14,74
fixed,0,1,time,1,0,4,200163313,237978,10,7,5i5h,41,182
fixed,0,1,time,1,1,1,200164355,216230,12,0,2e2d,13,86
fixed,0,1,time,1,1,4,200035363,216747,11,23,2e2d,45,237
fixed,0,1,time,1,2,1,200081500,201114,14,790,8h2b+,15,124
fixed,0,1,time,1,2,4,200145311,204865,10,534,8h2b+,41,231
fixed,0,2,time,1,0,1,200063908,261266,13,0,5i5h,14,74
fixed,0,2,time,1,0,4,200042408,256669,10,7,5i5h,41,182
fixed,0,2,time,1,1,1,200126355,217028,12,0,2e2d,13,86
fixed,0,2,time,1,1,4,200131176,216747,11,23,2e2d,45,237
fixed,0,2,time,1,2,1,200186610,190411,14,790,8h2b+,15,124
fixed,0,2,time,1,2,4,200034474,198593,10,534,8h2b+,41,231
baseline,0,3,time,1,0,1,200036698,262452,13,0,5i5h,14,75
baseline,0,3,time,1,0,4,200099887,254269,10,7,5i5h,41,183
baseline,0,3,time,1,1,1,200102534,212608,12,0,2e2d,13,86
baseline,0,3,time,1,1,4,200138662,217992,11,23,2e2d,45,242
baseline,0,3,time,1,2,1,200030398,185613,14,790,8h2b+,15,125
baseline,0,3,time,1,2,4,200125136,201738,10,534,8h2b+,41,239
baseline,1,0,time,1,0,1,200088157,263168,13,0,5i5h,14,75
baseline,1,0,time,1,0,4,200101393,254766,10,7,5i5h,41,183
baseline,1,0,time,1,1,1,200098047,217308,12,0,2e2d,13,86
baseline,1,0,time,1,1,4,200050638,218235,11,23,2e2d,45,242
baseline,1,0,time,1,2,1,200137651,196752,14,790,8h2b+,15,125
baseline,1,0,time,1,2,4,200162709,200711,10,534,8h2b+,41,239
fixed,1,1,time,1,0,1,200091035,264496,13,0,5i5h,14,74
fixed,1,1,time,1,0,4,200063654,252586,10,7,5i5h,41,182
fixed,1,1,time,1,1,1,200102566,210830,12,0,2e2d,13,86
fixed,1,1,time,1,1,4,200028908,217118,11,23,2e2d,45,237
fixed,1,1,time,1,2,1,200066099,201114,14,790,8h2b+,15,124
fixed,1,1,time,1,2,4,200189582,200958,10,534,8h2b+,41,231
fixed,1,2,time,1,0,1,200067622,259632,13,0,5i5h,14,74
fixed,1,2,time,1,0,4,200037626,244873,10,7,5i5h,41,182
fixed,1,2,time,1,1,1,200141241,210302,12,0,2e2d,13,86
fixed,1,2,time,1,1,4,200157252,216747,11,23,2e2d,45,237
